,data,cena
0,2018-01-16,3.419
1,2018-01-17,3.4109
2,2018-01-18,3.4108
3,2018-01-19,3.3994
4,2018-01-22,3.4036
5,2018-01-23,3.4084
6,2018-01-24,3.375
7,2018-01-25,3.3376
8,2018-01-26,3.3299
9,2018-01-29,3.3375
10,2018-01-30,3.3442
11,2018-01-31,3.3318
12,2018-02-01,3.3346
13,2018-02-02,3.3329
14,2018-02-05,3.3375
15,2018-02-06,3.3498
16,2018-02-07,3.3677
17,2018-02-08,3.4119
18,2018-02-09,3.4263
19,2018-02-12,3.4122
20,2018-02-13,3.3916
21,2018-02-14,3.3769
22,2018-02-15,3.3259
23,2018-02-16,3.3173
24,2018-02-19,3.3411
25,2018-02-20,3.3597
26,2018-02-21,3.3697
27,2018-02-22,3.4009
28,2018-02-23,3.3911
29,2018-02-26,3.3799
30,2018-02-27,3.3816
31,2018-02-28,3.4188
32,2018-03-01,3.4356
33,2018-03-02,3.42
34,2018-03-05,3.3995
35,2018-03-06,3.3936
36,2018-03-07,3.3744
37,2018-03-08,3.3935
38,2018-03-09,3.4132
39,2018-03-12,3.4066
40,2018-03-13,3.4143
41,2018-03-14,3.4055
42,2018-03-15,3.4117
43,2018-03-16,3.4214
44,2018-03-19,3.4341
45,2018-03-20,3.4296
46,2018-03-21,3.4544
47,2018-03-22,3.4264
48,2018-03-23,3.4319
49,2018-03-26,3.4145
50,2018-03-27,3.3921
51,2018-03-28,3.3956
52,2018-03-29,3.4201
53,2018-03-30,3.4139
54,2018-04-03,3.4177
55,2018-04-04,3.4224
56,2018-04-05,3.4301
57,2018-04-06,3.4315
58,2018-04-09,3.4174
59,2018-04-10,3.4068
60,2018-04-11,3.3859
61,2018-04-12,3.3924
62,2018-04-13,3.3862
63,2018-04-16,3.3666
64,2018-04-17,3.3572
65,2018-04-18,3.3721
66,2018-04-19,3.3693
67,2018-04-20,3.3881
68,2018-04-23,3.4156
69,2018-04-24,3.4401
70,2018-04-25,3.4548
71,2018-04-26,3.4827
72,2018-04-27,3.5003
73,2018-04-30,3.4868
74,2018-05-02,3.5563
75,2018-05-04,3.5754
76,2018-05-07,3.5634
77,2018-05-08,3.5884
78,2018-05-09,3.609
79,2018-05-10,3.5773
80,2018-05-11,3.5708
81,2018-05-14,3.5558
82,2018-05-15,3.5931
83,2018-05-16,3.6241
84,2018-05-17,3.6283
85,2018-05-18,3.6385
86,2018-05-21,3.6615
87,2018-05-22,3.6252
88,2018-05-23,3.6693
89,2018-05-24,3.659
90,2018-05-25,3.6686
91,2018-05-28,3.6849
92,2018-05-29,3.7299
93,2018-05-30,3.72
94,2018-06-01,3.6934
95,2018-06-04,3.6665
96,2018-06-05,3.6569
97,2018-06-06,3.647
98,2018-06-07,3.6062
99,2018-06-08,3.6479
100,2018-06-11,3.6247
101,2018-06-12,3.6271
102,2018-06-13,3.6461
103,2018-06-14,3.6155
104,2018-06-15,3.6922
105,2018-06-18,3.7003
106,2018-06-19,3.7316
107,2018-06-20,3.7352
108,2018-06-21,3.7607
109,2018-06-22,3.6977
110,2018-06-25,3.7087
111,2018-06-26,3.7151
112,2018-06-27,3.7351
113,2018-06-28,3.7705
114,2018-06-29,3.744
115,2018-07-02,3.7703
116,2018-07-03,3.7723
117,2018-07-04,3.7759
118,2018-07-05,3.7485
119,2018-07-06,3.7222
120,2018-07-09,3.685
121,2018-07-10,3.6973
122,2018-07-11,3.7
123,2018-07-12,3.7055
124,2018-07-13,3.7244
125,2018-07-16,3.6828
126,2018-07-17,3.6619
127,2018-07-18,3.7031
128,2018-07-19,3.7163
129,2018-07-20,3.717
130,2018-07-23,3.6957
131,2018-07-24,3.702
132,2018-07-25,3.6793
133,2018-07-26,3.6649
134,2018-07-27,3.6937
135,2018-07-30,3.6684
136,2018-07-31,3.6481
137,2018-08-01,3.6603
138,2018-08-02,3.6783
139,2018-08-03,3.6926
140,2018-08-06,3.692
141,2018-08-07,3.6722
142,2018-08-08,3.6782
143,2018-08-09,3.6846
144,2018-08-10,3.7481
145,2018-08-13,3.7862
146,2018-08-14,3.7768
147,2018-08-16,3.7871
148,2018-08-17,3.7784
149,2018-08-20,3.7695
150,2018-08-21,3.7375
151,2018-08-22,3.7104
152,2018-08-23,3.7069
153,2018-08-24,3.7014
154,2018-08-27,3.682
155,2018-08-28,3.6548
156,2018-08-29,3.6747
157,2018-08-30,3.6724
158,2018-08-31,3.6808
159,2018-09-03,3.6991
160,2018-09-04,3.7241
161,2018-09-05,3.733
162,2018-09-06,3.7143
163,2018-09-07,3.6995
164,2018-09-10,3.7283
165,2018-09-11,3.7087
166,2018-09-12,3.7198
167,2018-09-13,3.713
168,2018-09-14,3.6817
169,2018-09-17,3.6876
170,2018-09-18,3.6817
171,2018-09-19,3.6685
172,2018-09-20,3.6702
173,2018-09-21,3.6402
174,2018-09-24,3.662
175,2018-09-25,3.6511
176,2018-09-26,3.643
177,2018-09-27,3.6557
178,2018-09-28,3.6754
179,2018-10-01,3.6867
180,2018-10-02,3.7326
181,2018-10-03,3.7103
182,2018-10-04,3.7512
183,2018-10-05,3.7518
184,2018-10-08,3.7574
185,2018-10-09,3.7629
186,2018-10-10,3.7507
187,2018-10-11,3.7399
188,2018-10-12,3.713
189,2018-10-15,3.7091
190,2018-10-16,3.7036
191,2018-10-17,3.7123
192,2018-10-18,3.7302
193,2018-10-19,3.7601
194,2018-10-22,3.7273
195,2018-10-23,3.7485
196,2018-10-24,3.7698
197,2018-10-25,3.7796
198,2018-10-26,3.7899
199,2018-10-29,3.793
200,2018-10-30,3.8062
201,2018-10-31,3.8203
202,2018-11-02,3.7804
203,2018-11-05,3.7907
204,2018-11-06,3.7802
205,2018-11-07,3.7398
206,2018-11-08,3.7599
207,2018-11-09,3.7838
208,2018-11-12,3.8163
209,2018-11-13,3.8268
210,2018-11-14,3.8114
211,2018-11-15,3.8074
212,2018-11-16,3.7876
213,2018-11-19,3.784
214,2018-11-20,3.79
215,2018-11-21,3.7829
216,2018-11-22,3.7764
217,2018-11-23,3.7779
218,2018-11-26,3.7701
219,2018-11-27,3.7948
220,2018-11-28,3.8114
221,2018-11-29,3.7728
222,2018-11-30,3.7731
223,2018-12-03,3.7672
224,2018-12-04,3.7516
225,2018-12-05,3.7832
226,2018-12-06,3.7844
227,2018-12-07,3.7694
228,2018-12-10,3.76
229,2018-12-11,3.7763
230,2018-12-12,3.7934
231,2018-12-13,3.7739
232,2018-12-14,3.8095
233,2018-12-17,3.7871
234,2018-12-18,3.7668
235,2018-12-19,3.7619
236,2018-12-20,3.7331
237,2018-12-21,3.7528
238,2018-12-24,3.7588
239,2018-12-27,3.7616
240,2018-12-28,3.755
241,2018-12-31,3.7597
242,2019-01-02,3.7619
243,2019-01-03,3.7827
244,2019-01-04,3.772
245,2019-01-07,3.7575
246,2019-01-08,3.7559
247,2019-01-09,3.7509
248,2019-01-10,3.736
249,2019-01-11,3.7289
250,2019-01-14,3.7458
